ds,y,solar,wind,price,battery_flow,soc,grid_import,forecast_demand,actual_demand,net_load,cost
2023-01-31 00:00:00,446.6200687140397,0.0,150.0,0.05008691727531232,50.0,95.0,346.6200687140397,404.9993023464682,446.6200687140397,296.6200687140397,17.36113070764318
2023-01-31 01:00:00,379.0664167861383,0.0,73.8462545166935,0.04826608516101156,5.555555555555555,100.0,310.77571782500036,411.06589324600657,379.0664167861383,305.2201622694448,14.999927262515966
2023-01-31 02:00:00,418.914686844793,0.0,38.45679899152964,0.06511052423921478,0.0,100.0,380.45788785326334,422.76285517050354,418.914686844793,380.45788785326334,24.77181252907036
2023-01-31 03:00:00,420.97692872558406,0.0,150.0,0.05901935050045863,0.0,100.0,270.97692872558406,438.2852496313079,420.97692872558406,270.97692872558406,15.992882333993043
2023-01-31 04:00:00,489.3233734277988,0.0,0.07094146413532135,0.04877161472344184,-29.10687652486081,67.65902608348799,460.14555543880266,456.8520228778982,489.3233734277988,489.25243196366347,22.44204174656543
2023-01-31 05:00:00,480.11103332746836,0.0,123.52146609460316,0.04716259052973895,35.93441546279112,100.0,392.5239826956563,478.5725034249512,480.11103332746836,356.5895672328652,18.512447868977574
2023-01-31 06:00:00,483.7395063867103,0.0,150.0,0.0942209557601573,0.0,100.0,333.7395063867103,503.25859832145534,483.7395063867103,333.7395063867103,31.445255266678963
2023-01-31 07:00:00,555.4074636744583,41.625629078382126,8.617504025662218,0.08386671686367687,-45.018775131611335,49.97913874265407,460.14555543880266,529.331660551522,555.4074636744583,505.164330570414,38.59089701406539
2023-01-31 08:00:00,547.0900149681061,63.389200404616545,61.414986832822265,0.10363451614592582,0.0,49.97913874265407,422.2858277306673,553.9124610917434,547.0900149681061,422.2858277306673,43.763387432149486
2023-01-31 09:00:00,564.4263304255599,102.47558586045913,150.0,0.101180096429453,0.0,49.97913874265407,311.9507445651007,574.0831923100516,564.4263304255599,311.9507445651007,31.56320641633655
2023-01-31 10:00:00,554.575019782059,137.27184435646774,150.0,0.10215024916077031,0.0,49.97913874265407,267.3031754255913,588.2218889780133,554.575019782059,267.3031754255913,27.305085971189246
2023-01-31 11:00:00,585.2956027417018,169.50177779444803,13.817662054974805,0.10060441727817451,0.0,49.97913874265407,401.976162892279,596.2701471274991,585.2956027417018,401.976162892279,40.440577627494285
2023-01-31 12:00:00,562.0317355198225,157.17664808034374,150.0,0.09644274439172,0.0,49.97913874265407,254.85508743947878,598.8226228118804,562.0317355198225,254.85508743947878,24.5789240548551
